"","Epi_CD11c","CD33Low","LCs","Lang-","Lang+","cDC1","MDDC","MDM","Mac"
"LHX4",0.0209127600837034,0.0329610927348375,0,0,0,0,0.214042654483641,0,0
"LHX5",0,0,0,0,0.0258909350137673,0.00612991148674807,0,0,0
"LHX6",0,0,0.0128643642667375,0,0,0,0,0,0
"LHX9",0.0726217314329417,0,0.0108971677076606,0,0,0,0,0,0
"LIAS",7.5425236959152,6.32804489254744,4.42938344367043,3.70532518417428,2.25615855624731,24.0962621413123,6.60460581146258,7.82989725650939,8.69352990743152
"LIF",2.79914836353265,0,0.0460827819212631,0.0176283971938301,0.00671917012955697,5.7349563917668,0.710427308150815,0.54323805332793,1.58527740212764
"LIFR",0.315403139716694,0,0.108288415874251,0.160872318735507,0.00385669709183607,6.14870877552412,0,0.00517512240730143,0.00246655024597899
"LIG1",1.7095050040284,0,9.04178263885132,6.85542653866031,2.4824483106689,8.30881829380549,2.70553395240672,3.85403765929742,2.60910237424695
"LIG3",0.96726341408686,0.0158804854483999,2.86553577232274,0.358129141294357,5.36967443807043,0.232193661987967,0.821548690240909,0.615345183296087,0.366513713233324
"LIG4",0.413832584819317,0,0.981792495523349,1.34429239225918,0.345396176363383,0.281536871369322,0.247195565334493,0.791960269479727,1.03684528824015
"LILRA1",2.11563084280153,0.0197935101466154,0.0939402642432295,4.05771763399611,4.59177534907295,2.52380990738868,6.03413766552918,4.57335801475421,3.40648329578305
"LILRA2",3.29555996595897,0.105869902989333,0.320967563347993,6.30213319204853,5.14788147848225,7.33961335243205,9.21239009545318,8.04276659755219,11.5210505572019
"LILRA3",4.18771104254805,0.0386362403298563,0.257768762953954,35.1049607203679,28.6084145222925,27.1706326459463,50.4458528937832,20.83765594884,12.4283626575787
"LILRA4",21.2859293077507,0.326349554589483,8.48859149765108,1.94686662316966,1.91778107281226,1.72663380330019,3.37387477674428,3.86395465696516,3.20015326587302
